numbins,numitems,bitsperitem,rangeitems,distribution,instance_id,minmaxes,runtime
2,12,16,0,randint,8,"[{'split': 0, 'minmax': 184245.0}, {'split': 1, 'minmax': 184189.0}]",0.26399066699377727
2,12,16,0,randint,9,"[{'split': 0, 'minmax': 222470.0}, {'split': 1, 'minmax': 222455.0}]",0.2627215449901996
2,12,16,0,normal,0,"[{'split': 0, 'minmax': -56778.0}, {'split': 1, 'minmax': -56960.0}]",0.26195744999859016
2,12,16,0,normal,1,"[{'split': 0, 'minmax': -653.0}, {'split': 1, 'minmax': -676.5}]",0.2725897159980377
2,12,16,0,normal,2,"[{'split': 0, 'minmax': 36666.0}, {'split': 1, 'minmax': 36426.0}]",0.3098193150071893
2,12,16,0,normal,3,"[{'split': 0, 'minmax': -235059.0}, {'split': 1, 'minmax': -235153.5}]",0.27291544499166775
2,12,16,0,normal,4,"[{'split': 0, 'minmax': 181451.0}, {'split': 1, 'minmax': 181427.5}]",0.2761638780066278
2,12,16,0,normal,5,"[{'split': 0, 'minmax': 126200.0}, {'split': 1, 'minmax': 126198.5}]",0.23937810899224132
2,12,16,0,normal,6,"[{'split': 0, 'minmax': 23964.0}, {'split': 1, 'minmax': 23804.0}]",0.14321759399899747
2,12,16,0,normal,7,"[{'split': 0, 'minmax': 94990.0}, {'split': 1, 'minmax': 94728.0}]",0.27629426500061527
2,12,16,0,normal,8,"[{'split': 0, 'minmax': -111775.0}, {'split': 1, 'minmax': -111796.5}]",0.2408036679989891
2,12,16,0,normal,9,"[{'split': 0, 'minmax': -32646.0}, {'split': 1, 'minmax': -32663.5}]",0.30233896800200455
2,12,16,0.5,randint,0,"[{'split': 0, 'minmax': 271638.0}, {'split': 1, 'minmax': 271625.0}]",0.2541588970052544
2,12,16,0.5,randint,1,"[{'split': 0, 'minmax': 290366.0}, {'split': 1, 'minmax': 290357.5}]",0.3168414959945949
2,12,16,0.5,randint,2,"[{'split': 0, 'minmax': 293865.0}, {'split': 1, 'minmax': 293724.0}]",0.2878198319958756
2,12,16,0.5,randint,3,"[{'split': 0, 'minmax': 303257.0}, {'split': 1, 'minmax': 303206.5}]",0.3134527680085739
2,12,16,0.5,randint,4,"[{'split': 0, 'minmax': 292453.0}, {'split': 1, 'minmax': 292348.0}]",0.23709398800565396
2,12,16,0.5,randint,5,"[{'split': 0, 'minmax': 302534.0}, {'split': 1, 'minmax': 302462.5}]",0.3217761419946328
2,12,16,0.5,randint,6,"[{'split': 0, 'minmax': 290573.0}, {'split': 1, 'minmax': 290540.0}]",0.3188502709963359
2,12,16,0.5,randint,7,"[{'split': 0, 'minmax': 324777.0}, {'split': 1, 'minmax': 324728.0}]",0.2620241380063817
2,12,16,0.5,randint,8,"[{'split': 0, 'minmax': 277774.0}, {'split': 1, 'minmax': 277755.0}]",0.29764164800872095
2,12,16,0.5,randint,9,"[{'split': 0, 'minmax': 317395.0}, {'split': 1, 'minmax': 317392.0}]",0.24322891600604635
